길명,길소개,총길이,총소요시간,시작지점명,시작지점도로명주소,시작지점소재지지번주소,종료지점명,종료지점소재지도로명주소,종료지점소재지지번주소,경로정보,관리기관전화번호,관리기관명,데이터기준일자,위도,경도,제공기관코드,제공기관명
작가의 산책길,작가의 삶과 문화예술 혼이 서려 있는 문화시설을 탐방하고 체험하는 코스,4.9,3시간,이중섭 미술관,제주특별자치도 서귀포시 이중섭로 27-3,,소암기념관,제주특별자치도 서귀포시 소암로 15,,이중섭미술관 - 이중섭거주지 - 서귀포매일올레시장 - 문화예술시장 - 기당미술관 - 칠십리시공원 - 자구리해안 - 소남머리 - 서복전시관 - 소정방 - 정모시공원 - 소암기념관에 이르는 길,064-732-1963,서귀포 지역주민협의회,2021-10-29,,,6520000,제주특별자치도 서귀포시
바우길 16구간,학이시습지길,10,5시간,강릉원주대학교 해람지,강원도 강릉시 죽헌길 7,강원도 강릉시 지변동 123,강릉원주대학교 홍보관,강원도 강릉시 초당순두부길 86,강원도 강릉시 초당동 57-17,강릉원주대(해람지) → 오죽헌 → 선교장 → 김시습기념관 → 허난설헌생가터 → 강릉원주대학교홍보관,033-640-5126,강원도 강릉시청,2021-06-15,,,4200000,강원도 강릉시
바우길 17구간,안반데기 운유길,6,3시간,안반데기 운유촌,강원도 강릉시 왕산면 안반데기길 440-1,강원도 강릉시 왕산면 대기리 2214-112,안반데기 운유촌,강원도 강릉시 왕산면 안반데기길 440-1,강원도 강릉시 왕산면 대기리 2214-112,운유촌(주차장)→ 멍에전망대→ 피덕령→ 일출전망대→ 성황당쉼터→ 피덕령→ 운유촌(주차장),033-640-5126,강원도 강릉시청,2021-06-15,,,4200000,강원도 강릉시
느린꼬부랑길,"슬로시티 대흥에서 조성한 길로, 총 3개의 코스로 운영되며 각 코스마다 대흥의 삶과 자연, 역사를 만날 수 있는 길이 이어진다.",12.5,2시간 50분,대흥 슬로시티 방문자센터,충청남도 예산군 대흥면 중리길 49 예산대흥슬로시티협의회,충청남도 예산군 대흥면 동서리 84-5,대흥동헌,충청남도 예산군 대흥면 의좋은형제길 37 대흥동헌,충청남도 예산군 대흥면 동서리 106-1,1코스 : 슬로시티 방문자센터-봉수산 자연휴양림-애기폭포-달팽이미술관-대흥동헌 / 2코스 : 슬로시티 방문자센터-이성만형제효제비-대흥동헌-애기폭포-이한직가옥-대흥동헌 / 3코스 : 슬로시티 방문자센터-이한직가옥-대흥향교-삼신당터-참샘-망태할아버지석상-대흥동헌,041-339-7323,예산군/대흥슬로시티협의회,2021-06-07,,,4610000,충청남도 예산군
온천과 함께하는 솔바람길,천혜의 등산로로 전국적으로 알려진 수암산과 600년 전통의 온천으로 유명한 덕산온천관광지와 연결하여 조성된 길로 윤봉길의사의 얼이 서린 충의사 등 주변 문화재와 연결되어 남녀노소 누구나 걸을 수 있다.,13.9,4시간,삽교읍 목리,충청남도 예산군 삽교읍 수암천로 11,충청남도 예산군 삽교읍 목리 538-3,예산군 관광안내소,충청남도 예산군 덕산면 온천단지2로 11 예산군 관광안내소,충청남도 예산군 덕산면 신평리 513,삽교읍 목리-가루실고개-오형제바위-수암산정상-지하통로-징검다리-예산 관광안내소,041-339-7304,예산군,2021-06-07,,,4610000,충청남도 예산군
예당호느린호수길,"예당호 수변공원(수문)에서 2021~2022년 한국관광100선에 선정된 예당호출렁다리@음악분수를 지나 대흥 동서리까지 수변데크로 연결된 길로서 세개의 테마길(수변테마길, 농촌테마길, 생태테마길)로 구성되어 있다.",7,2시간,예당호 수문,충청남도 예산군 대흥면 예당긍모로 437-11,충청남도 예산군 대흥면 손지리 795-11,중앙생태공원입구,충청남도 예산군 대흥면 예당로 876-1,충청남도 예산군 대흥면 동서리 73,예당호 수변공원-부잔교-예당호출렁다리-예당호음악분수-충효정-평촌삼거리-교촌삼거리-중앙생태공원,041-339-8282,예산군,2021-06-07,,,4610000,충청남도 예산군
소풍길,"의정부 대표시인 천상병이 작품 ‘귀천’에서 아름다운 이 세상을 “소풍”이라고 표현한 것을 인용한 것으로, 의정부시의 산과 하천변 길을 이용한 도보길",78.1,32시간,망월사역,경기도 의정부시 평화로 221,경기도 의정부시 호원동 50-5,사기막고개,경기도 남양주시 순화궁로 945번길,경기도 의정부시 산곡동 산94-11,대구간1코스 시점(망월사역) → 대구간1코스 종점(시청) → 대구간2코스 시점(시청) → 대구간2코스 종점(녹양역) → 대구간3코스 시점(녹양역)→ 대구간3코스 종점(현충탑) → 대구간4코스 시점(현충탑) → 대구간4코스 종점(부용산 입구) → 대구간5코스 시점(부용산 입구) → 대구간5코스 종점(구306보충대) → 대구간6코스 시점(옥수당공원) → 대구간6코스 종점(사기막고개),031-828-4642,경기도 의정부시청,2021-06-07,,,3820000,경기도 의정부시
대전 스카이로드,초대형 LED 영상스크린이 설치되어 세계 최고의 영상쇼를 연출하는 대전의 대표적인 문화거리,0.214,5분,이안경원,대전광역시 중구 중앙로 164,대전광역시 중구 은행동 48-14,중교로(미니스톱 편의점),대전광역시 중구 중앙로164번길 49,대전광역시 중구 은행동 76-21,이안경원 → 으능정이 문화의거리 → 미니스톱,042-252-7100,대전마케팅공사,2021-06-03,,,3650000,대전광역시 중구
중교로,전통과 건강한 문화가 살아 숨쉬는 거리,0.894,15분,으능정이네거리,대전광역시 중구 대종로 471,대전광역시 중구 대흥동 189,보건지소네거리,대전광역시 중구 보문로 246,대전광역시 중구 대흥동 452-3,카톨릭문화회관옆 → 우리들공원야외공연장 → 대림빌딩옆,042-606-6286,대전광역시 중구청,2021-06-03,,,3650000,대전광역시 중구
지리산둘레길산청센터안내구간,지리산을 둘러싸고 있는 3개도 5개시군100여개마을의 숲기등을이어 하나의길로연결,611677,23시간30분~28시간30분(경유구간포함),함양군동강마을,경상남도 함양군 휴천면 동강안길4,경상남도 함양군 휴천면 동강리 366,하동군 옥종면 위태마을 상촌,경상남도 하동군 옥종면 돌고지로1430-3,경상남도 하동군 옥종면 위태리 783-2,함양동강마을-방곡(추모공원)-상사폭포-수철마을-내리교-어천마을-운리점촌-운리마을-백운계곡-시천사리-중태마을-하동군옥종면 위태리,055-970-6924,경상남도 산청군청,2021-07-12,,,5450000,경상남도 산청군
여강길(7코스 부처울습지길),이야기가 있는 문화생태 탐방로 여강길 7코스,9.3,3시간,상백2리마을회관,경기도 여주시 흥천면 능북로 504-1,경기도 여주시 흥천면 상백리 173-2,당남리섬입구,경기도 여주시 대신면 여양로 1935-69,경기도 여주시 대신면 천서리 755,상백2리마을회관→상백리선착장→부처울습지→상백교→계신리마을회관→삼신당→이포나루터→이포보홍보관→당남리섬입구,031-884-9089,비영리민간단체 여강길,2021-09-23,,,5700000,경기도 여주시
여강길(8코스 파사성길),이야기가 있는 문화생태 탐방로 여강길 8코스,5.4,2시간,당남리섬입구,경기도 여주시 대신면 여양로 1935-69,경기도 여주시 대신면 천서리 755,당남리섬입구,경기도 여주시 대신면 여양로 1935-69,경기도 여주시 대신면 천서리 755,당남리섬입구→파사성보도현수교→파사성정상→수호사→신내천→느네마을→당남리섬입구,031-884-9089,비영리민간단체 여강길,2021-09-23,,,5700000,경기도 여주시
여강길(9코스 너른들길),이야기가 있는 문화생태 탐방로 여강길 9코스,11.8,4시간,당남리섬입구,경기도 여주시 대신면 여양로 1935-69,경기도 여주시 대신면 천서리 755,천남공원,경기도 여주시 대신면 천남리 680,경기도 여주시 대신면 천남리 680,당남리섬입구→당남리섬→피넛교→이포보오토캠핑장→여주저류지→후포교→어량진나루터→천남공원,031-884-9089,비영리민간단체 여강길,2021-09-23,,,5700000,경기도 여주시
여강길(10코스 천년도자길),이야기가 있는 문화생태 탐방로 여강길 10코스,7.2,3시간,천남공원,경기도 여주시 대신면 천남리 680,경기도 여주시 대신면 천남리 680,여주시종합관광안내소,경기도 여주시 신륵사길 6-11,경기도 여주시 천송동 545-7,천남공원→싸리산등산로입구→싸리산팔각정→싸리산주차장→현암강변공원→오학동행정복지센터→여주대교→여주박물관→여주시종합관광안내소,031-884-9089,비영리민간단체 여강길,2021-09-23,,,5700000,경기도 여주시
속리산둘레길 보은길4,금단산 신선길,8.9,3시간,산외면 대원리 마을회관,충청북도 보은군 산외면 대원길 28,충청북도 보은군 산외면 대원리 83-1,금단산고개,충청북도 보은군 산외면 대원리,충청북도 보은군 산외면 대원리 산 13-1,대원리 마을회관→ 금단산 고개→ 괴산군,043-540-3213,충청북도 보은군,2021-11-09,,,4420000,충청북도 보은군
속리산둘레길 순환구간,꼬부랑길과의 만남,10.4,2시간30분,말티재정상,충청북도 보은군 속리산면 갈목리,충청북도 보은군 속리산면 갈목리 산 19-1,말티재정상,충청북도 보은군 속리산면 갈목리,충청북도 보은군 속리산면 갈목리 산 19-1,말티재정상→ 꼬부랑길 → 말티재정상,043-540-3213,충청북도 보은군,2021-11-09,,,4420000,충청북도 보은군
역사문화순례길,원주시의 수려한 자연자원과 임도 및 농촌지역 오솔길 등을 활용하여 걸어서 여행하는 문화 역사 관광의 탐방 코스,21.2,5시간,부론초교,강원도 원주시 부론면 법천시장길 56,강원도 원주시 부론면 법천리 1563-2,부론초교,강원도 원주시 부론면 법천시장길 65,강원도 원주시 부론면 법천리 1563-2,부론면 → 흥원창 → 손곡이달선생 시비→ 거돈사지 → 법천사지 → 부론면 (순환코스),033-737-5136,강원도 원주시청,2021-10-29,,,4190000,강원도 원주시
대전둘레산길(8구간),우산봉길,9,6시간,안산동 버스 종점,대전광역시 유성구 안금로 70,대전광역시 유성구 안산동 297-8,갑동 정류장,대전광역시 유성구 갑동 399-17,대전광역시 유성구 갑동 399-17,안산동 버스종점-어두니 마을-안산동산성-우산봉-갑하산-삽재-갑동 정류장,042-270-5583,대전광역시,2020-12-17,,,6300000,대전광역시
바우길 3구간,어명을 받은 소나무길,11.7,5시간,보현사버스종점,강원도 강릉시 보현길 125,강원도 강릉시 성산면 보광리 1014-1,명주군왕릉주차장,강원도 강릉시 성산면 삼왕길 204-15,강원도 강릉시 성산면 보광리 838,보현사버스종점 → 어명정 → 술잔바위 → 임도삼거리(산불감시초소) → 명주군왕릉 주차장,033-640-5126,강원도 강릉시청,2021-06-15,,,4200000,강원도 강릉시
바우길 4구간,사천 둑방길,15.7,6시간,명주군왕릉주차장,강원도 강릉시 성산면 삼왕길 204-15,강원도 강릉시 성산면 보광리 838,사천진해변공원,강원도 강릉시 사천면 진리해변길 69,강원도 강릉시 사천면 사천진리 2-80,명주군왕릉 → 해살이마을 → 탑교 → 장정교 → 사천교 → 운양초교 → 사천진해변공원,033-640-5126,강원도 강릉시청,2021-06-15,,,4200000,강원도 강릉시
바우길 5구간,바다호숫길,16,6시간,사천진해변공원,강원도 강릉시 사천면 진리해변길 69,강원도 강릉시 사천면 사천진리 2-80,남항진솔바람다리앞,강원도 강릉시 공항길127번길 35-7,강원도 강릉시 남항진동 1-3,사천진해변공원 → 경포해변중앙광장 → 경포대 → 강문해변 → 송정해변 → 안목항 → 남항진해변,033-640-5126,강원도 강릉시청,2021-06-15,,,4200000,강원도 강릉시
바우길 6구간,굴산사가는길,17.3,7시간,남항진솔바람다리앞,강원도 강릉시 공항길127번길 35-7,강원도 강릉시 남항진동 1-3,학산오독떼기전수관,강원도 강릉시 구정면 금평로 117,강원도 강릉시 구정면 학산리 628-3,남항진해변 → 청량동입구 → 중앙시장 → 모산봉 → 구정면사무소 → 학산오독떼기전수관,033-640-5126,강원도 강릉시청,2021-06-15,,,4200000,강원도 강릉시
바우길 7구간,풍호연가길,15.4,7시간,학산오독떼기전수관,강원도 강릉시 구정면 금평로 117,강원도 강릉시 구정면 학산리 628-3,안인삼거리,강원도 강릉시 강동면 안인일출길 50,강원도 강릉시 강동면 안인진리 13-17,학산오똑떼기전수회관→ 강릉자동차극장→ 정감이등산로→ 강동초등학교→ 안인항,033-640-5126,강원도 강릉시청,2021-06-15,,,4200000,강원도 강릉시
바우길 8구간,산우에 바닷길,9.3,5시간,안인삼거리,강원도 강릉시 강동면 안인일출길 50,강원도 강릉시 강동면 안인진리 13-17,정동진역,강원도 강릉시 강동면 정동역길 17,강원도 강릉시 강동면 정동진리 303,안인항/등산로주차장 → 활공장전망대 → 방송탑 → 당집 → 183고지 → 정동진역,033-640-5126,강원도 강릉시청,2021-06-15,,,4200000,강원도 강릉시
바우길 9구간,헌화로 산책길,13.9,5시간,정동진역,강원도 강릉시 강동면 정동역길 17,강원도 강릉시 강동면 정동진리 303,옥계시장,강원도 강릉시 옥계면 현내시장길 71-1,강원도 강릉시 옥계면 현내리 1251-3,정동진역→ 모래시계공원→ 심곡항→ 금진항→ 한국여성수련원→ 옥계해변→ 옥계시장,033-640-5126,강원도 강릉시청,2021-06-15,,,4200000,강원도 강릉시
바우길 10구간,심스테파노길,11,5시간,명주군왕릉주차장,강원도 강릉시 성산면 삼왕길 204-15,강원도 강릉시 성산면 보광리 838,송양초등학교,강원도 강릉시 성산면 위촌길 198,강원도 강릉시 성산면 위촌리 589,명주군왕릉 주차장 → 솔바우 → 위촌리버스종점 → 위촌리전통문화전승관 → 송양초등학교,033-640-5126,강원도 강릉시청,2021-06-15,,,4200000,강원도 강릉시
바우길 11구간,신사임당길,16.3,7시간,송양초등학교,강원도 강릉시 성산면 위촌길 198,강원도 강릉시 성산면 위촌리 589,허균·허난설헌기념공원,강원도 강릉시 난설헌로193번길 1-29,강원도 강릉시 초당동 477,송양초등학교 → 죽헌저수지 → 오죽헌 → 선교장 → 경포대 → 허균·허난설헌기념공원,033-640-5126,강원도 강릉시청,2021-06-15,,,4200000,강원도 강릉시
바우길 12구간,주문진 가는길,11.6,5시간,사천진해변공원,강원도 강릉시 사천면 진리해변길 69,강원도 강릉시 사천면 사천진리 2-80,주문진해변주차장,강원도 강릉시 주문진읍 주문북로 210,강원도 강릉시 주문진읍 향호리 8-17,사천진해변공원 → 영진항 → 주문진항 → 주문진등대 → 소돌항등대 → 주문진해변 주차장,033-640-5126,강원도 강릉시청,2021-06-15,,,4200000,강원도 강릉시
바우길 13구간,향호 바람의길,15,6시간,주문진해변주차장,강원도 강릉시 주문진읍 주문북로 210,강원도 강릉시 주문진읍 향호리 8-17,주문진해변주차장,강원도 강릉시 주문진읍 주문북로 210,강원도 강릉시 주문진읍 향호리 8-17,주문진해변주차장→ 향호목책로→ 향호저수지 수변로→ 향호목장→ 향호소공원→ 주문진해변주차장,033-640-5126,강원도 강릉시청,2021-06-15,,,4200000,강원도 강릉시
바우길 14구간,초희길,11,5시간,강릉시청주차장,강원도 강릉시 강릉대로 33,강원도 강릉시 홍제동 1001,강문솟대다리,강원도 강릉시 강문동 248-4,강원도 강릉시 강문동 248-4,"강릉시청(시외.고속버스터미널) → 강릉시립미술관 → 소동산봉수대 → 허균,허난설헌기념공원 → 강문솟대다리",033-640-5126,강원도 강릉시청,2021-06-15,,,4200000,강원도 강릉시
바우길 15구간,강릉수목원 가는길,17.2,7시간,성산면사무소,강원도 강릉시 성산면 구산길 22,강원도 강릉시 성산면 구산리 186-3,강릉단오제전수교육관,강원도 강릉시 단오장길 1,강원도 강릉시 노암동 722-2,성산면사무소→ 임도삼거리→ 솔향수목원→ 폴리텍대→ 신복사지삼층석탑→ 강릉단오제전수교육관,033-640-5126,강원도 강릉시청,2021-06-15,,,4200000,강원도 강릉시
산림욕길,산림욕길,7,3,서울신학대학교,경기도 부천시 호현로489번길 52,경기도 부천시 소사본동 101-1,송내역,경기도 부천시 송내대로 43,경기도 부천시 송내동 632-4,서울신학대학교 → 하우고개 → 마리고개→ 성주중학교→ 송내역,032-625-3579,경기도 부천시청 녹지과,2021-07-29,,,3860000,경기도 부천시
남산기억로 1코스,장충단비에서 조선신궁터까지 도보길,4,2.5시간,장충단비,서울특별시 중구 동호로 261,서울특별시 중구 장충동2가 196-1,조선신궁 터,서울특별시 중구 소월로 91,서울특별시 중구 남대문로5가 471,장충단비 → 정각원 → 통감관저 터 → 통감부 터→ 왜성대 터 → 노기신사 터 → 경성신사 터 → 한양공원 터 → 조선신궁 터,02-3396-4622,서울특별시 중구청,2021-10-22,,,3010000,서울특별시 중구
남산기억로 2코스,남산골한옥마을에서 조선신궁터까지 도보길,2.5,1.5시간,남산골한옥마을,서울특별시 중구 퇴계로34길 28,서울특별시 중구 필동2가 84-1,조선신궁 터,서울특별시 중구 소월로 91,서울특별시 중구 남대문로5가 471,남산골 한옥마을→ 통감관저 터→통감부 터→ 왜성대 터→ 노기신사 터→ 경성신사 터→ 한양공원 터→ 조선싱궁 터,02-3396-4622,서울특별시 중구청,2021-10-22,,,3010000,서울특별시 중구
명동역사문화투어,"명동문화공원에서 유네스코회관(은성주점터, 문예서림터)까지 도보길",2,1.5시간,명동문화공원,서울특별시 중구 명동길 89,서울특별시 중구 저동1가 91-2,유네스코 회관,서울특별시 중구 명동3길 6,서울특별시 중구 명동1가 60,명동문화공원→ 명동성당→ 이재명의사의거비→ 윤선도집터→ 이회영6형제집터→ 장악원터→ 나석주의사동상→ 조선취인소터→ 한국전력 사옥→ 중국대사관거리→ 한국은행앞광장→ 한국은행화폐박물관→ 신세계백화점→,02-3396-4622,서울특별시 중구청,2021-10-22,,,3010000,서울특별시 중구
향수100리길,금강이 굽이굽이 흐로는 아름다운 풍경을 따라가는 길,50.6,4시간 40분,정지용생가,충청북도 옥천군 옥천읍 향수길 56,충청북도 옥천군 옥천읍 하계리 39,정지용생가,충청북도 옥천군 옥천읍 향수길 56,충청북도 옥천군 옥천읍 하계리 39,정지용생가->장계관광지->안남면사무소->합금리 벽화마을->금강휴게소->안터선사공원->육영수생가->정지용생가,043-730-3412,충청북도 옥천군청,2021-10-08,,,4430000,충청북도 옥천군
외씨버선길(영양군구간),"우리나라 대표 청정지역인 청송, 영양, 봉화, 영월 4개군이 만든 4색매력 길로서 조지훈 시인의 승무에 나오는 외씨버선길과 같다하여 외씨버선길로 불려지게 되었습니다.",69.8,30시간,청송군 고현지,경상북도 청송군 진보면 송이길 6,경상북도 청송군 진보면 시량리 산155,우련전,경상북도 영양군 수비면 남회룡로 790,경상북도 영양군 수비면 신암리 산 19-84,장계향디미방길-오일도시인의길-조지훈문학길-영양연결길-치유의길,054-683-9282,경북북부연구원,2020-12-23,,,5170000,경상북도 영양군
산소길,저탄소 녹색시범도시 조성과 연계한 친환경적인 트레일 코스 조성,8,2시간,대관령반정,강원도 강릉시 성산면 어흘리,강원도 강릉시 성산면,대관령박물관,강원도 강릉시 성산면 대관령옛길 1,강원도 강릉시 성산면 대관령옛길 1,대관령반정→주막터→대관령박물관,033-640-5126,강원도 강릉시청,2021-06-15,,,4200000,강원도 강릉시
바우길 1구간,선자령풍차길,12,5시간,신재생에너지전시관,강원도 평창군 대관령면 경강로 5754,강원도 평창군 대관령면 경강로 5754,신재생에너지전시관,강원도 평창군 대관령면 경강로 5754,강원도 평창군 대관령면 경강로 5754,대관령 신재생에너지전시관→ 2구간분기점→ 목장길→ 선자령→ 동해전망대→ 대관령 신재생에너지전시관,033-640-5126,강원도 강릉시청,2021-06-15,,,4200000,강원도 강릉시
바우길 2구간,대관령옛길,14.7,6시간,신재생에너지전시관,강원도 평창군 대관령면 경강로 5754,강원도 평창군 대관령면 경강로 5754,보현사버스종점,강원도 강릉시 보현길 125,강원도 강릉시 성산면 보광리 1014-1,신재생에너지전시관 → 국사성황당 → 반정 → 옛주막터 → 우주선화장실 → 보현사버스종점,033-640-5126,강원도 강릉시청,2021-06-15,,,4200000,강원도 강릉시
늠내길3코스옛길,문화와 어우러진 길,11,5시간,시흥가스,경기도 시흥시 호현로 185,,시흥가스,경기도 시흥시 호현로 185,,꼬꼬상회-여우고개-하우고개-소내골-계란마을-청용약수터-소래산마애상-꼬꼬상회,031-310-2343,경기도 시흥시청,2021-06-25,,,4010000,경기도 시흥시
늠내길4코스바람길,바다와 어우러진 길,15,5시간,옥구공원,경기도 시흥시 서해안로 277,,옥구공원,경기도 시흥시 서해안로 277,,옥구공원-덕섬-오이도-옥구천-곰솔누리숲-오이도역-걷고싶은거리-정왕호수공원-옥구공원,031-310-2344,경기도 시흥시청,2021-06-25,,,4010000,경기도 시흥시
백의종군로,이순신 장군의 호국정신을 받들어 역사교육과 극기정신을 함양할 수 있는 고난 극복의 역사길,5,1시간30분,남사예담촌,경상남도 산청군 단성면 지리산대로2897번길 10,경상남도 산청군 단성면 남사리 281-1,금만마을회관,경상남도 산청군 단성면 금만안길 47-7,경상남도 산청군 단성면 창촌리 229,남사예담촌→이사재→이구산입구→참숯굴진입로→고리지(남사제)→송덕사→감나무골→금만마을회관,055-970-6421,경상남도 산청군청,2021-07-12,,,5450000,경상남도 산청군
낙동강세평하늘길,"철길따라 강따라 산간 오지마을 사람들의 삶의 애환이 담긴 길로서 흐르는 물따라, 굽이굽이 계곡따라 산골마을과 작은 고개를 넘어 아름다운 낙동강을 만나는 길",12.1,4시간 30분,분천역,경상북도 봉화군 소천면 분천길 49,경상북도 봉화군 소천면 분천리 935-1,승부역,경상북도 봉화군 석포면 승부길 1162-5,경상북도 봉화군 석포면 승부리 산105-1,분천역→비동승강장→양원역→승부역,054-679-6354,경상북도 봉화군청,2021-10-17,,,5240000,경상북도 봉화군
승부역가는길,열차가 아니면 갈 수 없는 오지의 훼손되지 않은 자연 그대로의 아름다움을 느낄수 있는 길,12.4,3시간 20분,석포역,경상북도 봉화군 석포면 석포로 134,경상북도 봉화군 석포면 석포리 590,승부역,경상북도 봉화군 소천면 승부길 1162-5,경상북도 봉화군 석포면 승부리 산105-1,석포역→(2.3km)굴티→(2.0km)가시루봉→(1.2km)결둔마을→(0.4km)서낭골→(0.4km)마무이→(1.2km)구드들→(2.5km)본마을→(0.3km)아랫불,054-679-6354,경상북도 봉화군청,2021-10-17,,,5240000,경상북도 봉화군
솔숲갈래길,고요히 흐르는 내성천을 따라 자유롭게 거닐수 있으며 석천계곡과 함께 울창한 소나무숲이 있어 가족과 함게 탐방하기에 좋음,7.1,2시간 30분,봉화체육공원,,경상북도 봉화군 봉화읍 내성리 506,정자목,,경상북도 봉화군 봉화읍 유곡리 1389-3,봉화체육공원→내성천수변공원→석천계곡솔숲길→닭실마을→정자목,054-679-6354,경상북도 봉화군청,2021-10-17,,,5240000,경상북도 봉화군
전월산누리길(코스5),전월산누리길,7.9,3시간,전월산 주차장,세종특별자치시 연기면 세종리 산36,,전월산 주차장,세종특별자치시 연기면 세종리 산36,,"전월산→세종리은행나무,숭모각→며느리바위→용천→상여바위→부앙봉",044-300-2414,세종특별자치시,2021-10-18,,,5690000,세종특별자치시
고운뜰길(코스6),고운뜰길,6.5,2시간,제천뜰근린공원,세종특별자치시 종촌동 676,,제천뜰근린공원,세종특별자치시 종촌동 676,,제천뜰근린공원→고운초/중→가락유/초→두루초/중→어서각역사공원→아름동주민센터→제천,044-300-2414,세종특별자치시,2021-10-18,,,5690000,세종특별자치시
국사봉누리길(코스7),국사봉누리길,5.8,2시간,밝은뜰근린공원,세종특별자치시 연기면 정안세종로 1527,,은하수공원,세종특별자치시 연기면 정안세종로 1527,,밝은뜰근린공원→국사봉인근산자락→고정천,044-300-2414,세종특별자치시,2021-10-18,,,5690000,세종특별자치시
한양도성(남산구간),광희문에서 숭례문까지 도보길,5.432,4시간,광희문,서울특별시 중구 청구로,서울특별시 중구 광희동2가 105-3,숭례문,서울특별시 중구 세종대로40,서울특별시 중구 남대문로4가 29,광희문→장충구간 성곽길→반야트리호텔→자유총연맹→국립극장→남산나무계단길→남산타워 팔각정→남산봉수대→잠두봉 포토아일랜드→안중근의사 기념관→백범광장→숭례문,02-3396-4622,서울특별시 중구청,2021-10-22,,,3010000,서울특별시 중구
장충단 호국의 길,독립에 앞장섰던 애국지사 호국탐방길,1.3,2시간,동대입구역,서울특별시 중구 동호로 지하256,서울특별시 중구 장충동2가 199-3,자유센터,서울특별시 중구 장충단로72,서울특별시 중구 장충동2가 201-6,동대입구역→장충단비→한국유림 독립운동 파리장서비→수표교→이준 열사 동상→외솔 최현배 선생 기념비→유관순 열사 동상→3.1독립운동 기념탑→국립극장→김용환 지사 동상→자유센터,02-3396-4623,서울특별시 중구청,2021-10-22,,,3010000,서울특별시 중구
광희문 달빛로드1,역사투어,2.1,2시간,흥인지문,서울특별시 종로구 종로288,서울특별시 종로구 종로6가 69,신당동떡볶이거리,서울특별시 중구 퇴계로76길,서울특별시 중구 신당동 302-4,흥인지문(동대문)→오간수문(오간수교)→이간수문→동대문디자인플라자→(구)서산부인과→광희문→현양관(광희문성지)→시구문시장 터→대장간거리→동활인서 터→무당천(무당고개)→신당동떡볶이거리,02-3396-4623,서울특별시 중구청,2021-10-22,,,3010000,서울특별시 중구
광희문 달빛로드2,하이라이트 투어,2.2,2시간,충무아트센터,서울특별시 중구 퇴계로387,서울특별시 중구 흥인동 131,동대문디자인플라자,서울특별시 중구 을지로281,서울특별시 중구 을지로7가 2-1,충무아트센터→신당동 떡볶이 거리→신당도 봉제골목→무학빌딩→광희문→광희동 중앙앙시아 거리→뉴금호타워→훈련원공원→국립의료원→동대문디자인플라자,02-3396-4623,서울특별시 중구청,2021-10-22,,,3010000,서울특별시 중구
"다같이돌자,정동한바퀴",정동극장에서 서울시립미술관까지 도보길,1.5,2시간,정동극장,서울특별시 중구 정동길43,서울특별시 중구 정동 8-11,서울시립미술관,서울특별시 중구 덕수궁길61,서울특별시 중구 서소문동 37,정동극장→덕수궁중명전→구 러시아 공사관→이화백주년기념관→정동제일교회→배재학당 역사박물관→서울시립미술관,02-3396-4623,서울특별시 중구청,2021-10-22,,,3010000,서울특별시 중구
중구 순례역사길,명동대성당에서 중림동 약현성당까지 도보길,6,2시간,명동대성당,서울특별시 중구 명동길 74,서울특별시 중구 명동2가 1-1,중림동 약현성당,서울특별시 중구 청파로 447-1,서울특별시 중구 중림동 149-2,명동대성당(김범우 집터)→ 이벽의 집터→ 의금부터→ 전옥서터→ 우포도청터→ 성공회성당→ 경기감영터→ 서소문역사공원→ 약현성당,02-3396-4623,서울특별시 중구청,2021-10-22,,,3010000,서울특별시 중구
대전둘레산길(7구간),금병산길,12.2,7.5시간,봉산동(구즉) 버스 기점,대전광역시 유성구 금남구즉로 1351,대전광역시 유성구 봉산동 685,안산동 버스종점,대전광역시 유성구 안금로 70,대전광역시 유성구 안산동 297-8,봉산동(구즉) 버스 기점-오봉산-보덕봉-용바위-대전시계-금병산-노루봉-ADD철책구간-거칠메기고개-북유성나들목 지하통로-안산동 버스종점,042-270-5583,대전광역시,2020-12-17,,,6300000,대전광역시
감악산 물맞이길(전망대 가는 길),선녀폭포에서 감악산 정상으로 가는 지름길 코스,2,1시간 30분,선녀폭포,경상남도 거창군 위천면 금원산길 404-4,경상남도 거창군 위천면 상천리 1076-1,전망대(정상),경상남도 거창군 신원면 연수사길 611,경상남도 거창군 신원면 구사리 산 12-7,선녀폭포→오름길→해맞이 명소→전망대(정상),055-940-3763,경상남도 거창군청,2021-07-15,,,5470000,경상남도 거창군
감악산 물맞이길(심신도량 하는 길),연수사 주변을 산책하는 코스로 명상과 사색의 시간을 즐길 수 있는 코스,1.5,1시간 30분,연수사,경상남도 거창군 남상면 연수사길 115-103,경상남도 거창군 남상면 무촌리 40-1,연수사,경상남도 거창군 남상면 연수사길 115-103,경상남도 거창군 남상면 무촌리 40-1,연수사→물맞는 약수탕→부도→명상의 오솔길→연수사,055-940-3763,경상남도 거창군청,2021-07-15,,,5470000,경상남도 거창군
