축제명,개최장소,축제시작일자,축제종료일자,축제내용,주관기관,주최기관,후원기관,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
장보고수산물축제,"해변공원, 장보고기념관 일원",2019-05-03,2019-05-06,"전통노젓기, 해조류김밥만들기, 열린무대 등",완도장보고수산물축제 추진위원회,전라남도 완도군청,"전라남도, 농협중앙회완도군지부",061-550-5411,www.wando.go.kr,,전라남도 완도군 완도읍 해변공원로 24,전라남도 완도군 완도읍 군내리 1443-1,34.3174470578,126.7527591647,2019-10-07,4990000,전라남도 완도군
청산도슬로우걷기축제,청산도일원,2019-04-06,2019-05-06,"나비야청산가자, 명사와 함께걷기힐링토크 등",청산도슬로우걷기축제추진위원회,전라남도 완도군청,완도군,061-550-5433,www.wando.go.kr,,전라남도 완도군 청산면 청산로 46,전라남도 완도군 청산면 도청리 1173-10,34.1797107442,126.8577890642,2019-10-07,4990000,전라남도 완도군
청정완도 가을빛 여행,완도해변 공원 일원,2018-10-19,2018-10-21,청정완도 가을빛 낭만 여행,청정완도 가을빛 여행 추진위원회,전라남도 완도군청,완도군,061-550-5411,www.wando.go.kr,,전라남도 완도군 완도읍 해변공원로 24,전라남도 완도군 완도읍 군내리 1443-1,34.3174470578,126.7527591647,2019-10-07,4990000,전라남도 완도군
도봉구민 건강축제,"도봉구청, 중랑천변",2015-10-16,2015-10-17,"도봉구민 걷기대회, 장애체험, 가상음주체험, 유방암검진, 신장초음파 검사, 건강관련 패널전시, 건강강좌 등",서울특별시 도봉구청,서울특별시 도봉구청,,02-2091-4422,,,서울특별시 도봉구 마들로 656,,37.6686287,127.0470496,2018-05-01,3090000,서울특별시 도봉구
도봉 과학축전,"도봉구청 로비, 아뜨리움, 대강당, 광장 등",2015-10-23,2015-10-28,과학 체험· 전시·교육·이벤트 마당 등,서울특별시 도봉구청,서울특별시 도봉구청,,02-2091-2316,http://science.dobong.go.kr,,서울특별시 도봉구 마들로 656,,37.6686287,127.0470496,2018-05-01,3090000,서울특별시 도봉구
도봉구 등축제,우이천,2015-09-11,2015-09-30,"둘리와 친구들과 어우러지는 범선, 동물친구들 등과 추석을 앞두고 있어 전통춤 시리즈로 구성하여 등 전시",서울특별시 도봉구청,서울특별시 도봉구청,,02-2091-2254,,,서울특별시 도봉구,,37.6617028,127.0382005,2018-05-01,3090000,서울특별시 도봉구
정의공주와 함께 하는 도봉 한글잔치,방학동 원당샘공원,2015-10-09,2015-10-09,"문화예술공연, 백일장 및 사생대회, 전통놀이체험 등",서울특별시 도봉구청,"서울특별시 도봉구청, 도봉문화원",,02-905-4026,,,서울특별시 도봉구 원당샘공원,,37.666670,127.033750,2018-05-01,3090000,서울특별시 도봉구
정월대보름 큰잔치,"도봉구청 광장, 중랑천변",2015-03-05,2015-03-05,"길놀이, 풍물놀이, 소원지 붙이기, 달집태우기, 민속놀이 체험마당,청소년 동아리 프로그램 공연 및 솟대외줄타기 공연",서울특별시 도봉구청,서울특별시 도봉구청,,02-2091-2254,,,서울특별시 도봉구 마들로 656,,37.6707774,127.0483768,2018-05-01,3090000,서울특별시 도봉구
도봉서원 춘·추향제,도봉서원,2015-04-28,2015-10-22,"분향례, 전폐례, 초헌례, 아헌례, 종헌례, 음복례 등 제례, 추모음악회",서울특별시 도봉구청,"서울특별시 도봉구청,(사)도봉서원",,02-905-4026,,,서울특별시 도봉구 도봉산길 90,,37.6853826,127.0325089,2018-05-01,3090000,서울특별시 도봉구
도봉산 산사축제,도봉산 일대,2015-10-02,2015-10-03,"산사음악회, 영산재, 사찰음식전 등",서울특별시 도봉구청,서울특별시 도봉구청,,02-905-4026,,,서울특별시 도봉구,,37.6864694,127.033968,2018-05-01,3090000,서울특별시 도봉구
도봉구민 건강축제,"도봉구청, 중랑천변",2015-10-16,2015-10-17,"도봉구민 걷기대회, 장애체험, 가상음주체험, 유방암검진, 신장초음파 검사, 건강관련 패널전시, 건강강좌 등",서울특별시 도봉구청,서울특별시 도봉구청,,02-2091-4422,,,서울특별시 도봉구 마들로 656,,37.6686287,127.0470496,2018-05-01,3090000,서울특별시 도봉구
도봉 과학축전,"도봉구청 로비, 아뜨리움, 대강당, 광장 등",2015-10-23,2015-10-28,과학 체험· 전시·교육·이벤트 마당 등,서울특별시 도봉구청,서울특별시 도봉구청,,02-2091-2316,http://science.dobong.go.kr,,서울특별시 도봉구 마들로 656,,37.6686287,127.0470496,2018-05-01,3090000,서울특별시 도봉구
도봉구 등축제,우이천,2015-09-11,2015-09-30,"둘리와 친구들과 어우러지는 범선, 동물친구들 등과 추석을 앞두고 있어 전통춤 시리즈로 구성하여 등 전시",서울특별시 도봉구청,서울특별시 도봉구청,,02-2091-2254,,,서울특별시 도봉구,,37.6617028,127.0382005,2018-05-01,3090000,서울특별시 도봉구
2021년 거창크리스마스트리문화축제,거창로터리 일원,2021-12-05,2022-01-09,"메인트리 및 포토존 등 트리장식 설치, 사진,동영상 공모전, 문화예술공연 동영상 중계 등",거창크리스마스트리문화축제위원회,거창크리스마스트리문화축제위원회,"경상남도, 거창군",055-943-3579,,,경상남도 거창군 거창읍 중앙로 103,경상남도 거창군 거창읍 상림리 64-1,35.68667584,127.9095332,2021-11-30,5470000,경상남도 거창군
안산국제거리극축제,안산문화광장 및 안산시 일대,2019-05-04,2019-05-06,순수예술축제,안산시,안산문화재단,"문화체육관광부, 경기관광공사, 한국문화예술위원회, 한국지역진흥재단",031-481-0531,https://www.ansanart.com/index.do,"화랑유원지,",경기도 안산시 단원구 광덕대로 157,경기도 안산시 단원구 고잔동 800,37.310742,126.829822,2021-08-31,3930000,경기도 안산시
별빛달빛놀이터,단원청소년수련관,2019-05-17,2019-05-17,"버스킹 공연, 벼룩시장, 먹거리 야시장 등",안산시,안산시청소년재단 단원청소년수련관,,031-412-1763,www.ansanyouth.or.kr,,경기도 안산시 단원구 화정천서로 369,경기도 안산시 단원구 초지동 667,37.330422,126.816788,2021-08-31,3930000,경기도 안산시
청소년의달 기념행사 <열정유>,단원청소년수련관,2019-05-19,2019-05-19,"안산시청소년들을 위한 축제(공연,체험 등)",안산시,안산시청소년재단 상록청소년수련관,,031-412-1761,www.ansanyouth.or.kr,,경기도 안산시 단원구 화정천서로 369,경기도 안산시 단원구 초지동 667,37.330422,126.816788,2021-08-31,3930000,경기도 안산시
제12주년 세계인의 날 기념행사,안산문화광장,2019-05-19,2019-05-19,"기념식, 문화 및 각종 부대행사",안산시,안산시,,031-481-3298,,원곡동 다문화거리,경기도 안산시 단원구 광덕대로 157,경기도 안산시 단원구 고잔동 800,37.310742,126.829822,2021-08-31,3930000,경기도 안산시
영주사과축제,영주시 부석사 주차장 일원,2021-10-13,2021-10-31,사과판매행사 등 사과축제,(재)영주문화관광재단,영주시,,054-630-8707,http://yjapple.yctf.or.kr/,,,경상북도 영주시 부석면 북지리 300,36.9945139267,128.6811772725,2021-10-28,5090000,경상북도 영주시
서리풀페스티벌,서초구 전역,2021-09-11,2021-09-26,"고품격 기획공연 및 폐막공연, 스케치북, 청년예술인 공연, 아마추어 공연 등 (지역축제)",서초문화재단,서초구,,,,코로나로 연기,서초구,,,,2021-10-21,3210000,서울특별시 서초구
반포서래 한불음악축제,반포동인근,2021-09-11,2021-09-26,"국내·프랑스 뮤지션 축하공연, 주민참여공연, 불꽃놀이, 먹거리부스(푸드트럭) 운영",반포서래 한불음악축제 추진위원회(반포본·1·2·3·4동 주민자치위원회),반포서래 한불음악축제 추진위원회(반포본·1·2·3·4동 주민자치위원회),,,,코로나로 연기,서초구,,,,2021-10-21,3210000,서울특별시 서초구
서초골 축제,예술의전당,2021-09-11,2021-09-26,"클래식음악회, 오페라&뮤지컬 갈라콘서트 개최",서초1·2·3·4동 주민자치위원회/서초골축제추진위원회,서초1·2·3·4동 주민자치위원회/서초골축제추진위원회,,,,코로나로 연기,서초구,,,,2021-10-21,3210000,서울특별시 서초구
잠원나루축제,잠원체육공원,2021-09-11,2021-09-26,"왕비친잠행사, 주민참여공연, 누에생태체험관, 먹거리장터 운영",잠원동 주민자치위원회,잠원동 주민자치위원회,,,,코로나로 연기,서초구,,,,2021-10-21,3210000,서울특별시 서초구
말죽거리축제,양재시장말죽거리 일대,2021-09-11,2021-09-26,"말퍼레이드 및 승마체험, 특산물 장터, 노래자랑 등",말죽거리소상공인연합회,말죽거리소상공인연합회,,,,코로나로 연기,서초구,,,,2021-10-21,3210000,서울특별시 서초구
악기거리축제,서초동 악기거리,2021-09-11,2021-09-26,"작은음악회, 거리콘서트, 악기거리 마켓, 체험행사 등",서울악기거리축제추진위원회,서울악기거리축제추진위원회,,,,코로나로 연기,서초구,,,,2021-10-21,3210000,서울특별시 서초구
방배비보이페스티벌,방배뒷벌공원,2021-09-11,2021-09-26,"비보이 공연 및 아트풍선 쇼, 코스프레 포토존 운영 등",방배권역 비보이 축제추진위원회,방배권역 비보이 축제추진위원회,,,,코로나로 연기,서초구,,,,2021-10-21,3210000,서울특별시 서초구
제5회 라라라 페스티벌,부산대 지하철역 아래 문화행사장 일원 (온천천 어울마당),2021-10-15,2021-10-24,"금정 커피,빵,문화의 맛 즐기기 및 공연 등 문화공간 제공",부산광역시 금정구,부산광역시 금정구,,051-519-4422,,"금정의 커피 및 빵 즐기기, 초콜릿 만들기, 라라라 놀이체육 한마당, 금정 맛 푸드 콘서트 등",,부산광역시 금정구 장전동 427,35.22961686,129.0893423,2021-10-15,3350000,부산광역시 금정구
2017 안양 아줌마축제,평촌중앙공원,2017-05-27,2017-05-28,"아줌마 축제 기념공연, 여성동아리공연, 미니올림픽, 김장담그기대회, 홍보체험부스 등",경인일보,(재)안양문화예술재단,"경기도 안양시, 안양시여성단체협의회",031-687-0500,http://www.ayac.or.kr,"안양예술공원, APAP, 김중업박물관",경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895,37.39013727,126.9613302,2022-02-09,3830000,경기도 안양시
2017 광복기념음악회,안양아트센터 관악홀,2017-08-15,2017-08-15,"안양필하모닉 오케스트라연주, 안양시립합창단 공연 등 (우천으로 안양아트센터 관악홀 실내 진행)",(재)안양문화예술재단,(재)안양문화예술재단,"안양시, 티브로드abc방송",031-687-0500,http://www.ayac.or.kr,"안양예술공원, APAP, 김중업박물관",경기도 안양시 만안구 문예로 36번길 16,경기도 안양시 만안구 안양동 549,37.38458779,126.9313651,2022-02-09,3830000,경기도 안양시
2017 안양 시민축제,"평촌중앙공원,병목안시민공원,범계로데오",2017-09-15,2017-09-17,"시민공연마당, 전시체험부스, 개폐막 축하공연, 방송국 공개방송, 안양시민의날 기념식, 안양시민가요제 등",(재)안양문화예술재단,경기도 안양시+안양축제추진위원회,,031-687-0500,http://www.ayac.or.kr,"안양예술공원, APAP, 김중업박물관",경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895,37.39013727,126.9613302,2022-02-09,3830000,경기도 안양시
2018 안양충훈벚꽃축제,안양충훈2교일대,2018-04-07,2018-04-15,"축하공연, 안양꽃길걷기대회, 안양꽃길그리기, 어린이벼룩시장, 거리공연, 체험부스 등",(재)안양문화예술재단,안양시+안양충훈벚꽃축제추진위원회,티브로드abc방송,031-687-0500,http://www.ayac.or.kr,"안양예술공원, APAP, 김중업박물관",경기도 안양시 만안구 석수로 159,경기도 안양시 만안구 석수동 797,37.40461526,126.8961574,2022-02-09,3830000,경기도 안양시
2018 안양여성축제,평촌중앙공원,2018-05-12,2018-05-13,"기념공연, 여성동아리공연, 미니올림픽, 김장담그기대회, 홍보체험부스 등",경인일보,(재)안양문화예술재단,"경기도 안양시, 안양시여성단체협의회",031-687-0500,http://www.ayac.or.kr,"안양예술공원, APAP, 김중업박물관",경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895,37.39013727,126.9613302,2022-02-09,3830000,경기도 안양시
2018 광복기념음악회,병목안시민공원,2018-08-15,2018-08-15,"뮤지컬 그룹 플래티넘, 안양시립합창단 공연 등",(재)안양문화예술재단,경기도 안양시+안양축제추진위원회,"안양시, 티브로드abc방송",031-687-0500,http://www.ayac.or.kr,"안양예술공원, APAP, 김중업박물관",경기도 안양시 만안구 병목안로 215,경기도 안양시 만안구 안양동 산 82-2,37.38528888,126.9076745,2022-02-09,3830000,경기도 안양시
2018 안양 시민축제,"평촌중앙공원,병목안시민공원,범계로데오",2018-09-14,2018-09-16,"시민공연마당, 전시체험부스, 개폐막 축하공연, 방송국 공개방송, 안양시민의날 기념식, 안양시민가요제 등",(재)안양문화예술재단,경기도 안양시+안양축제추진위원회,,031-687-0500,http://www.ayac.or.kr,"안양예술공원, APAP, 김중업박물관",경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895,37.39013727,126.9613302,2022-02-09,3830000,경기도 안양시
2019 안양충훈벚꽃축제,안양충훈2교일대,2019-04-05,2019-04-07,"축하공연, 안양꽃길걷기대회, 안양꽃길그리기, 어린이벼룩시장, 거리공연, 체험부스 등",(재)안양문화예술재단,안양시+안양충훈벚꽃축제추진위원회,티브로드abc방송,031-687-0500,http://www.ayac.or.kr,"안양예술공원, APAP, 김중업박물관",경기도 안양시 만안구 석수로 159,경기도 안양시 만안구 석수동 797,37.40461526,126.8961574,2022-02-09,3830000,경기도 안양시
세종대왕과 초정약수 축제,내수초정문화공원,2018-05-25,2018-05-27,초정약수 관련,청주문화원,청주시,,043-201-2042,해당없음,,충청북도 청주시 청원구 내수읍 초정약수로 851,충청북도 청주시 청원구 내수읍 초정리 64-2,36.721607,127.601269,2020-07-17,5710000,충청북도 청주시
진해군항제,중원로터리 및 진해구 일원,2019-04-01,2019-04-10,"추모대제, 승전행사, 불꽃쇼, 문화예술행사",(사)이충무공선양군항제위원회,창원시,,,,,경상남도 창원시 진해구 진해대로 649,경상남도 창원시 진해구 평안동 10,35.1591082170,128.6869245073,2021-10-19,5670000,경상남도 창원시
진해군악의장페스티벌,진해공설운동장,2019-04-01,2019-04-10,"개막행사, 주공연장 마칭공연, 프린지공연",(사)이충무공선양군항제위원회,창원시,,,,,경상남도 창원시 진해구 충무로 43(도만동),,35.14836103,128.6554537,2021-10-19,5670000,경상남도 창원시
창원진동불꽃낙화축제,창원진동면 광암항,2018-04-15,2018-04-15,"축하공연, 개막식, 불꽃낙화 점화 등","창원서부수협, 진동면청년회","창원진동미더덕축제위원회, 창원진동불꽃낙화축제위원회",,,,,경상남도 창원시 마산합포구 진동면 광암해안길16-1,경상남도 창원시 마산합포구 진동면 요장리 267-37,35.10418995,128.4971465,2021-10-19,5670000,경상남도 창원시
야철제,성산패총,2018-06-30,2018-06-30,"초혼제, 불씨봉송 및 점화, 제례등",창원시,창원시,,,,,경상남도 창원시 성산구 성산패총로 137,경상남도 창원시 성산구 외동 853-7,35.20793223,128.6792735,2021-10-19,5670000,경상남도 창원시
마산만날제,만날공원,2018-09-25,2018-09-27,"개막식, 당산제등","마산예총, 마산만날제운영위원회",마산예총,,,,,경상남도 창원시 마산합포구 만날고개1길 60-7,경상남도 창원시 마산합포구 월영동 산177,,,2021-10-19,5670000,경상남도 창원시
남산상봉제,남산공원,2018-09-29,2018-09-30,"개막식, 상봉가요제, 남산어울림한마당, 체험행사 등",창원남산상봉제 축제위원회,창원남산상봉제 축제위원회,,,,,경상남도 창원시 의창구 팔용로 494-37,,35.25767299,128.6191963,2021-10-19,5670000,경상남도 창원시
2018 백제어울마당,송산리고분군(무령왕릉) 일원,2018-04-14,2018-10-28,"미마지탈 만들고 써보기, 백제춤주기, 퓨전공연 등",봉황기획,공주시,,041-840-8069,,,충청남도 공주시 왕릉로 37,충청남도 공주시 웅진동 57-1,36.46244576,127.112978,2021-10-22,4500000,충청남도 공주시
2018 웅진성수문병 근무교대식,공산성 금서루,2018-04-21,2018-11-04,"수문병 근무교대식, 공산성 성벽극장 인형극, 관광객과 함께하는 어가행렬",웅진문화회,공주시,,041-840-8069,,,충청남도 공주시 웅진로 280,충청남도 공주시 금성동 65-3,36.46521533,127.1236802,2021-10-22,4500000,충청남도 공주시
2018 공주 석장리 세계구석기축제,석장리박물관,2018-05-04,2018-05-07,"네안데르탈인 특별전시전, 별빛토크쇼, 구석기문화 체험 등",공주석장리구석기축제조직위원회,공주시,,041-840-8112,,,충청남도 공주시 금벽로 990,충청남도 공주시 석장리동 118,36.44795221,127.1875895,2021-10-22,4500000,충청남도 공주시
2018 계룡산산신제,계룡면 양화리 신원사일원,2018-04-28,2018-05-01,"유.불.무가식 산신제,점사체험, 기체험, 다양한 무대공연 등",계룡산산신제보존회,공주시,,041-840-8093,,,충청남도 공주시 계룡면 보목고개로 393,충청남도 공주시 계룡면 양화리 165-1,36.333638,127.177107,2021-10-22,4500000,충청남도 공주시
제15회 마곡사신록축제,사곡면 운암리 마곡사일원,2018-05-12,2018-05-13,"버스킹공연, 소나무심기, 야생화 전시, 농특산물 판매 등",마곡사신록축제추진위원회,공주시,,041-840-8093,,,충청남도 공주시 사곡면 마곡사로 966 마곡사,충청남도 공주시 사곡면 운암리 567,36.55740589,127.011603,2021-10-22,4500000,충청남도 공주시
2018 계룡산벚꽃축제,계룡산 동학사 일원,2018-04-06,2018-04-15,"야간경관 설치, 계룡산벚꽃가요제, 분청사기 만들기, 먹거리 운영 등",계룡산축제추진위원회,공주시,,041-840-8093,,,충청남도 공주시 반포면 동학사1로 167-31,충청남도 공주시 반포면 학봉리 631-9,36.36030634,127.2509274,2021-10-22,4500000,충청남도 공주시
2018 마곡사토요무대,마곡사관광지 야외무대,2018-07-07,2018-08-25,"버스킹공연, 프린지공연, 섹소폰 연주, 국악연주 등",마곡사상인연합회,공주시,,041-840-8093,,,충청남도 공주시 사곡면 마곡사로 854,충청남도 공주시 사곡면 운암리 722-4,36.55728753,127.0183843,2021-10-22,4500000,충청남도 공주시
제64회 백제문화제,금강신관공원 및 공산성 일원,2018-09-14,2018-09-22,"K-POP 한류페스티벌, 웅진성퍼레이드, 체험마당, 먹거리마당, 농특산물판매 등",공주시백제문화선양위원회,백제문화제추진위원회,,041-840-8069,,,충청남도 공주시 신관동 553,충청남도 공주시 신관동 553,36.47835102,127.1204236,2021-10-22,4500000,충청남도 공주시
2019겨울공주군밤축제,고마아트센터,2019-01-18,2019-01-20,눈썰매장 및 겨울놀이시설 운영,겨울공주 군밤축제추진위원회,공주시,,041-840-8093,,,충청남도 공주시 금학동 111-1,충청남도 공주시 금학동 111-1,36.43336915,127.124038,2021-10-22,4500000,충청남도 공주시
2019 백제어울마당,송산리고분군(무령왕릉) 일원,2019-05-04,2019-11-02,"미마지탈극, 무예극, 백제탈 체험 등",JK커뮤니케이션,공주시,,041-840-8069,,,충청남도 공주시 왕릉로 37,충청남도 공주시 웅진동 57-1,36.46244576,127.112978,2021-10-22,4500000,충청남도 공주시
2019 웅진성수문병 근무교대식,공산성 금서루,2019-05-04,2019-11-10,"수문병 근무교대식, 체험프로그램 등",봉황기획,공주시,,041-840-8069,,,충청남도 공주시 웅진로 280,충청남도 공주시 금성동 65-3,36.46521533,127.1236802,2021-10-22,4500000,충청남도 공주시
2019 공주 석장리 구석기축제,석장리박물관,2019-05-03,2019-05-06,"네안데르탈인 특별전시전, 별빛토크쇼, 구석기문화 체험 등",공주석장리구석기축제조직위원회,공주시,,041-840-8112,,,충청남도 공주시 금벽로 990,충청남도 공주시 석장리동 118,36.44795221,127.1875895,2021-10-22,4500000,충청남도 공주시
자라섬 국제재즈페스티벌,가평읍 읍내리 자라섬 일원,2020-10-01,2020-10-30,"재즈공연, 전시 및 체험, 먹거리 등",(사)자라섬청소년재즈센터,(사)자라섬청소년재즈센터,,031-581-2813,https://www.facebook.com/jarasumjazz,"남이섬, 쁘띠프랑스, 아침고요수목원 등",경기도 가평군 가평읍 자라섬로 60,경기도 가평군 가평읍 달전리 산7,37.82089751,127.5210451,2022-03-03,4160000,경기도 가평군
천령문화제,함양상림공원일원,2022-05-01,2022-05-30,"고유제, 식전행사, 개막식, 학술회의, 버스킹, 야간경관조명, 예술단체 전시",천령문화제위원회,경상남도 함양군,,055-963-7785,,,,경상남도 함양군 함양읍 교산리 1047-2,35.52372642,127.7218597,2022-02-23,5460000,경상남도 함양군
함양연암문화화제,안의면 오리숲일원,2022-08-01,2022-08-31,제18회 함양연암문화제 안전기원제 개최,연암문화제위원회,경상남도 함양군,,055-962-0899,,,,경상남도 함양군 안의면 금천리 241,35.63129664,127.812171,2022-02-23,5460000,경상남도 함양군
화개장터벚꽃축제,하동군 화개면 영호남화합다목적광장 일원,2020-01-01,2020-12-31,벚꽃축제,제21회화개장터벚꽃축제추진위원회+화개면청년회,제22회화개장터벚꽃축제추진위원회/화개면청년회,,,,,경상남도 하동군 화개면 쌍계로 58,,35.1915334447,127.6267850806,2020-03-10,5440000,경상남도 하동군
알프스하동섬진강재첩축제,하동군 하동읍 송림공원일원,2020-01-01,2020-12-31,재첩특산물 홍보 및 판매,(사)알프스하동섬진강재첩축제위원회,(사)알프스하동섬진강재첩축제위원회,,,,,경상남도 하동군 하동읍 섬진강대로 2107-8,,35.0633743958,127.7433307951,2020-03-10,5440000,경상남도 하동군
하동야생차문화축제,하동군 화개면 악양면 일원,2020-01-01,2020-12-31,녹차특산물 판매 및 전시행사등,(사)하동야생차문화축제조직위원회,(사)하동야생차문화축제조직위원회,,,,,경상남도 하동군 화개면 쌍계로 571-25,,35.2277305288,127.6426922431,2020-03-10,5440000,경상남도 하동군
춘천공연예술제,"축제극장 몸짓, 춘천인형극장 등",2021-07-13,2021-08-21,"춘천아트페스티벌 20회 기념 특별 공연, 현대무용, 재즈, 전통창작음악 등 순수공연예술 공연",(사)텐스푼,(사)텐스푼,춘천시,033-251-0545,http://www.ccaf.or.kr,,"강원도 춘천시 춘천로281번길 15, A-503",강원도 춘천시 후평동 511-5,37.881630,127.742900,2021-10-18,4180000,강원도 춘천시
강원예술제,"강원국악예술회관, 축제극장 몸짓 등",2021-09-10,2021-09-29,"공감음악회, 강원국악제, 강원무용축전, 강원연극축전, 강원도 주부가요제, 강원음악회, 강원사랑시화전, 강원도미술협회전, 강원사진전 등",(사)한국예총강원도연합회,(사)한국예총강원도연합회,"강원도, 춘천시",033-254-2252,http://www.artgw.co.kr,,강원도 춘천시 스포츠타운길 383-6,강원도 춘천시 삼천동 200,37.872290,127.701270,2021-10-18,4180000,강원도 춘천시
제33회 춘천인형극제,"춘천인형극장, 축제극장몸짓",2021-08-28,2021-12-23,국내외 인형극 공연 관람,(재)춘천인형극제,춘천시+(재)춘천인형극제,,033-250-3067,http://www.cocobau.com/,,강원도 춘천시 영서로 3017,강원도 춘천시 사농동 277-3,37.921632,127.720237,2021-10-18,4180000,강원도 춘천시
인형극아카데미,춘천인형극장,2021-04-01,2021-11-30,"찾아가는 인형극 공연, 국내외 초청작 인형극 공연, 커튼콜 개최(온라인공연 인기작 3팀 무대 공연) 등",(재)춘천인형극제,춘천시+(재)춘천인형극제,,033-250-3067,http://www.cocobau.com/,,강원도 춘천시 영서로 3017,강원도 춘천시 사농동 277-3,37.921632,127.720237,2021-10-18,4180000,강원도 춘천시
마임아카데미,"축제극장 몸짓, 춘천공연예술연습공간 등",2021-03-01,2021-06-30,"몸짓배우, 시민배우, 청년기획자 과정",(사)춘천마임축제,(사)춘천마임축제,춘천시,033-242-0585,http://www.mimefestival.com/,,강원도 춘천시 춘천로 112,,37.873097,127.727838,2021-10-18,4180000,강원도 춘천시
예산황토사과축제,예산역전시장,2022-10-28,2022-10-30,예산황토사과의 우수성 홍보,예산능금농협,예산능금농협,,041-339-7317,http://yesan-apple.co.kr/,,충청남도예산군예산읍역전로61-4,,,,2022-01-21,4610000,충청남도 예산군
강원전국국악경연대회,춘천MBC공개홀 등,2021-09-25,2021-09-25,"민요 신인부, 일반부, 명창부로 구성하여 예선 및 본선 개최, 시상식 진행 및 상장 수여 - 코로나19로 민요 및 농악 단체경연은 비대면 영상심사 진행예정",강원소리진흥회,강원소리진흥회+춘천문화재단,춘천문화재단,033-263-5533,http://sb.wazzang.net/0332635533/,,강원도 춘천시 동내면 원창고개길 9,강원도 춘천시 동내면 학곡리 105-44,37.816106,127.759657,2021-10-18,4180000,강원도 춘천시
춘천마임축제,"산책로, KT&G 상상마당 야외무대 등",2021-05-23,2021-11-30,"워킹스루 마임, 브런치톡: 라온힐조, 불의도시 도깨비난장 등",(사)춘천마임축제,(사)춘천마임축제,춘천시,033-242-0585,http://www.mimefestival.com/,,강원도 춘천시 춘천로 112,,37.873097,127.727838,2021-10-18,4180000,강원도 춘천시
한여름밤의 아리아,KT&G 상상마당 야외공연,2021-08-07,2021-08-07,국내외 정상급 성악공연,(사)강원민예총 춘천지부,(사)강원민예총 춘천지부,춘천시,033-251-8907,https://m.facebook.com/chuncheonart777,,강원도 춘천시 서부대성로 12,강원도 춘천시 소양로2가 172-1,37.885024,127.724523,2021-10-18,4180000,강원도 춘천시
2021 온세대합창페스티벌,KT&G 상상마당 춘천 등 춘천시내일원,2021-08-21,2021-08-28,"가족합창단, 소년소녀합창단 대상 합창축제",춘천문화재단,춘천시+춘천문화재단,,033-259-5825,www.cccf.or.kr,,강원도 춘천시 효자상길 5번길 13 (효자동),강원도 춘천시 효자동 산40-12,37.872615,127.729340,2021-10-18,4180000,강원도 춘천시
문화거리 문화한마당,"강원대학교 후문 일대, 애막골 일대",2021-04-26,2021-05-08,"강원대학교 후문 대학로거리 일대 페스티벌 운영(거리공연,체험놀이,시민마켓 등)",춘천마임축제,춘천시+춘천문화재단,강원대학교 상가번영위원회,033-242-0585,http://www.mimefestival.com/,,강원도 춘천시 춘천로 112 지하1층,강원도 춘천시 효자동 531,37.873095,127.727810,2021-10-18,4180000,강원도 춘천시
문화거리 문화한마당,"강원대학교 후문 일대, 애막골 일대",2021-08-25,2021-09-08,"애막골 일대 페스티벌 운영(거리공연,체험놀이,시민마켓 등)",춘천마임축제,춘천시+춘천문화재단,강원대학교 상가번영위원회,033-242-0585,http://www.mimefestival.com/,,강원도 춘천시 춘천로 112 지하1층,강원도 춘천시 효자동 531,37.873095,127.727810,2021-10-18,4180000,강원도 춘천시
제21회 구례산수유꽃축제,산동면 지리산온천관광지 일원,2020-03-14,2020-03-22,"○ 주제프로그램 : 산수유꽃길따라 봄마중○ 산수유꽃 테마 체험프로그램 운영   - 산수유떡만들기체험경연 등○ 개막기획공연,영원불변의하트지남기기,작은 음악회 등○ 농특산품 판매, 향토음식점, 홍보관 운영 등",구례산수유꽃축제추진위원회,구례군,,061-780-2390,https://www.gurye.go.kr/tour,,전라남도 구례군 산동면 상관1길 45,,35.3196116669,127.4702903256,2020-12-07,4870000,전라남도 구례군
제16회 구례섬진강벚꽃축제,문척면 죽마리 섬진강변 일원,2020-03-28,2020-03-29,"○ 대표프로그램 : ?떤?길 걷기○ 개막축하공연, 노래자랑 등○ 농특산품 판매, 향토음식점, 군홍보관 운영 등",섬진강벚꽃축제추진위원회,구례군,,061-780-2255,https://www.gurye.go.kr/tour,,전라남도 구례군 문척면 죽연1길 67,,35.1830865376,127.4700987539,2020-12-07,4870000,전라남도 구례군
지리산남악제 및 군민의 날 행사,화엄사시설지구 및 구례공설운동장,2020-04-18,2020-04-20,"○ 대표프로그램 : 남악제례 및 행렬, 군민체육대회○ 농특산품 판매, 군 홍보관 운영 등",지리산남악제 및 군민의 날 행사 추진위원회,구례군,,061-780-2431,https://www.gurye.go.kr/tour,,전라남도 구례군 구례읍 서시천로 106,,35.2166161023,127.4668741223,2020-12-07,4870000,전라남도 구례군
